yesreason,yeslevel,noreason,nolevel,yes_no
agree3,同意,disagree2,同意,yes
agree3,同意,disagree2,同意,yes
agree3,同意,disagree2,同意,yes
agree3,同意,disagree2,同意,yes
agree3,同意,disagree2,同意,yes
agree3,同意,disagree2,同意,yes
agree3,同意,disagree2,同意,yes
agree3,同意,disagree2,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree3,同意,yes
agree3,同意,disagree4,同意,yes
agree3,同意,disagree4,同意,yes
agree3,同意,disagree4,同意,yes
agree3,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree4,同意,yes
agree4,同意,disagree5,同意,yes
agree4,同意,disagree5,同意,yes
agree4,同意,disagree5,同意,yes
agree4,同意,disagree5,同意,yes
agree4,同意,disagree5,同意,yes
agree4,同意,disagree5,同意,yes
agree4,同意,disagree5,同意,yes
agree4,同意,disagree5,同意,yes
agree4,同意,disagree5,同意,yes
agree4,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree5,同意,yes
agree5,同意,disagree6,同意,yes
agree5,同意,disagree6,同意,yes
agree5,同意,disagree6,同意,yes
agree5,同意,disagree6,同意,yes
agree5,同意,disagree6,同意,yes
agree5,同意,disagree6,同意,yes
agree5,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree6,同意,yes
agree6,同意,disagree7,同意,yes
agree6,同意,disagree7,同意,yes
agree6,同意,disagree1,非常不同意,yes
agree6,同意,disagree1,非常不同意,yes
agree6,同意,disagree1,非常不同意,yes
agree6,同意,disagree1,非常不同意,yes
agree6,同意,disagree1,非常不同意,yes
agree6,同意,disagree1,非常不同意,yes
agree6,同意,disagree1,非常不同意,yes
agree6,同意,disagree1,非常不同意,yes
agree6,同意,disagree2,非常不同意,yes
agree6,同意,disagree2,非常不同意,yes
agree6,同意,disagree3,非常不同意,yes
agree6,同意,disagree3,非常不同意,yes
agree6,同意,disagree3,非常不同意,yes
agree6,同意,disagree3,非常不同意,yes
agree1,非常不同意,disagree4,非常不同意,yes
agree3,非常不同意,disagree4,非常不同意,yes
agree5,非常不同意,disagree4,非常不同意,yes
agree6,非常不同意,disagree5,非常不同意,yes
agree1,非常同意,disagree5,非常不同意,yes
agree1,非常同意,disagree5,非常不同意,yes
agree1,非常同意,disagree7,非常不同意,yes
agree1,非常同意,disagree7,非常不同意,yes
agree1,非常同意,disagree7,非常不同意,yes
agree1,非常同意,disagree7,非常不同意,yes
agree1,非常同意,disagree7,非常不同意,yes
agree1,非常同意,disagree7,非常不同意,yes
agree1,非常同意,disagree7,非常不同意,yes
agree1,非常同意,disagree7,非常不同意,yes
agree1,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree7,非常不同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree1,非常同意,yes
agree2,非常同意,disagree2,非常同意,yes
agree2,非常同意,disagree2,非常同意,yes
agree2,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree3,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree2,非常同意,yes
agree4,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree5,非常同意,disagree3,非常同意,yes
agree6,非常同意,disagree3,非常同意,yes
agree6,非常同意,disagree3,非常同意,yes
agree6,非常同意,disagree3,非常同意,yes
agree6,非常同意,disagree3,非常同意,yes
agree6,非常同意,disagree3,非常同意,yes
agree6,非常同意,disagree3,非常同意,yes
agree6,非常同意,disagree4,非常同意,yes
agree6,非常同意,disagree4,非常同意,yes
agree6,非常同意,disagree4,非常同意,yes
agree6,非常同意,disagree4,非常同意,yes
agree6,非常同意,disagree4,非常同意,yes
agree6,非常同意,disagree4,非常同意,yes
agree6,非常同意,disagree4,非常同意,yes
agree1,普通,disagree4,非常同意,yes
agree1,普通,disagree4,非常同意,yes
agree1,普通,disagree4,非常同意,yes
agree1,普通,disagree4,非常同意,yes
agree1,普通,disagree4,非常同意,yes
agree1,普通,disagree4,非常同意,yes
agree1,普通,disagree4,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree5,非常同意,yes
agree1,普通,disagree6,非常同意,yes
agree1,普通,disagree6,非常同意,yes
agree1,普通,disagree6,非常同意,yes
agree1,普通,disagree6,非常同意,yes
agree2,普通,disagree6,非常同意,yes
agree2,普通,disagree6,非常同意,yes
agree2,普通,disagree6,非常同意,yes
agree2,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree3,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree6,非常同意,yes
agree4,普通,disagree7,非常同意,yes
agree4,普通,disagree7,非常同意,yes
agree4,普通,disagree7,非常同意,yes
agree4,普通,disagree1,普通,yes
agree4,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree1,普通,yes
agree5,普通,disagree2,普通,yes
agree5,普通,disagree2,普通,yes
agree5,普通,disagree3,普通,yes
agree5,普通,disagree3,普通,yes
agree5,普通,disagree3,普通,yes
agree5,普通,disagree3,普通,yes
agree5,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree3,普通,yes
agree6,普通,disagree4,普通,yes
agree6,普通,disagree4,普通,yes
agree6,普通,disagree4,普通,yes
agree6,普通,disagree4,普通,yes
agree6,普通,disagree4,普通,yes
agree6,普通,disagree4,普通,yes
agree6,普通,disagree4,普通,yes
agree6,普通,disagree4,普通,yes
agree6,普通,disagree4,普通,yes
agree6,普通,disagree4,普通,yes
,,disagree4,普通,
,,disagree4,普通,
,,disagree4,普通,
,,disagree4,普通,
,,disagree5,普通,
,,disagree5,普通,
,,disagree5,普通,
,,disagree5,普通,
,,disagree5,普通,
,,disagree5,普通,
,,disagree5,普通,
,,disagree5,普通,
,,disagree5,普通,
,,disagree5,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree6,普通,
,,disagree7,普通,
,,disagree7,普通,
,,disagree7,普通,
,,disagree7,普通,
,,disagree7,普通,
,,disagree7,普通,
,,disagree7,普通,
,,disagree7,普通,
,,disagree7,普通,
,,disagree7,普通,
